household_id,FARM,OWNERSHP,ACREHOUS,TAXINCL,PROPINSR,COSTELEC,VALUEH,ROOMS,PLUMBING,PUMA
2409628,0,1,1,2,36,0,11,5,2,0
2409631,0,1,1,1,22,12,0,4,2,0
2409641,0,1,1,0,59,20,8,3,2,0
2409648,0,1,1,0,50,10,11,6,2,0
2409650,0,1,1,1,59,19,22,6,2,0
2409653,0,1,1,1,49,4,27,3,2,0
2409654,0,1,1,1,56,11,11,7,2,0
2409660,0,1,1,2,40,12,11,5,2,0
2409671,0,1,1,0,59,1,16,4,2,0
2409675,0,1,2,0,30,6,6,6,2,0
2409680,0,1,1,1,59,24,5,5,2,0
2409686,0,1,1,0,35,6,6,8,2,0
2409695,0,1,1,2,59,13,5,4,2,0
2409725,1,1,2,1,59,15,62,5,2,0
2409728,0,0,0,0,0,0,99,0,0,0
2409730,0,1,1,1,40,9,4,5,2,0
2409733,0,1,1,2,59,20,13,6,2,0
2409747,0,2,1,0,0,7,99,3,2,0
2409754,0,1,1,0,44,4,7,4,2,0
2409756,0,1,1,0,35,12,13,4,2,0
2409758,0,1,1,0,51,4,6,6,2,0
2409761,0,1,1,1,59,12,35,5,2,0
2409762,0,1,1,0,59,5,16,7,2,0
2409764,0,2,1,0,0,8,99,5,2,0
2409766,0,1,1,0,45,12,45,5,2,0
2409767,0,0,0,0,0,0,99,0,0,0
2409774,0,1,1,0,20,6,0,1,2,0
2409775,0,1,2,0,13,3,1,3,2,0
2409782,0,1,1,0,50,7,11,5,2,0
2409793,0,1,1,0,32,4,11,4,2,0
2409794,0,1,1,0,59,11,6,7,2,0
2409795,0,2,1,0,0,7,99,2,2,0
2409807,0,1,1,2,59,13,8,6,2,0
2409808,0,1,1,1,59,12,22,7,2,0
2409816,0,2,0,0,0,7,99,3,2,0
2409826,0,1,0,2,0,41,7,3,2,0
2409832,0,2,1,0,0,8,99,3,2,0
2409850,0,1,2,0,59,6,16,6,2,0
2409851,0,1,1,0,14,5,0,4,2,0
2409853,0,2,0,0,0,0,99,4,2,0
2409863,0,2,2,0,0,12,99,9,2,0
2409867,0,1,1,0,25,10,1,4,2,0
2409894,0,1,1,0,24,8,1,4,2,0
2409900,0,1,1,0,28,9,5,5,2,0
2409904,0,1,2,1,59,35,22,6,2,0
2409918,0,2,1,0,0,16,99,7,2,0
2409923,0,1,1,0,47,12,3,5,2,0
2409930,0,2,1,0,0,11,99,4,2,0
2409937,0,1,1,0,59,7,2,2,2,0
2409955,0,1,1,1,50,13,22,4,2,0
2409957,0,1,2,1,25,15,2,6,2,0
2409971,0,1,1,1,35,2,8,2,2,0
2409980,0,2,1,0,0,10,99,5,2,0
2409984,0,1,1,0,40,20,11,8,2,0
2410008,0,1,1,0,58,5,3,5,2,0
2410023,0,1,0,0,33,99,0,1,2,0
2410024,0,1,1,1,45,15,8,7,2,0
2410031,0,2,1,0,0,0,99,2,2,0
2410034,0,2,1,0,0,6,99,7,2,0
2410035,0,1,2,0,44,18,8,2,1,0
2410036,0,1,1,1,59,8,18,7,2,0
2410040,0,1,1,1,59,7,13,5,2,0
2410057,0,2,1,0,0,9,99,7,2,0
2410061,0,1,1,1,45,6,6,3,2,0
2410066,0,2,1,0,0,4,99,4,2,0
2410091,0,2,0,0,0,6,99,4,2,0
2410098,0,1,1,1,59,18,11,3,1,0
2410108,0,0,0,0,0,0,99,0,0,0
2410110,0,2,0,0,0,12,99,5,2,0
2410116,0,2,2,0,0,3,99,6,2,0
2410133,0,1,1,0,59,4,11,7,2,0
2410140,0,1,2,0,33,2,3,3,2,0
2410149,0,1,1,0,16,6,0,4,2,0
2410151,0,1,1,0,25,9,6,4,2,0
2410157,0,1,1,0,59,5,8,2,2,0
2410158,0,1,1,0,59,5,22,5,2,0
2410160,0,1,2,0,43,99,11,7,2,0
2410168,0,1,2,1,59,8,87,4,2,0
2410174,0,2,0,0,0,12,99,2,2,0
2410179,0,1,1,1,36,10,11,6,2,0
2410198,0,2,1,0,0,99,99,6,2,0
2410201,0,1,2,0,49,12,18,5,2,0
2410209,0,2,0,0,0,5,99,4,2,0
2410210,0,2,0,0,0,2,99,2,2,0
2410216,0,1,1,0,45,5,13,5,2,0
2410219,0,2,1,0,0,9,99,4,2,0
2410220,0,2,1,0,0,36,99,3,2,0
2410221,0,2,1,0,0,13,99,5,2,0
2410224,0,2,1,0,0,99,99,9,2,0
2410233,0,2,1,0,0,12,99,5,2,0
2410237,1,1,1,0,56,10,22,3,2,0
2410244,0,2,0,0,0,6,99,2,2,0
2410245,0,1,1,1,44,0,4,5,2,0
2410253,0,1,1,1,15,99,0,2,2,0
2410261,0,1,1,1,40,5,8,6,2,0
2410269,0,0,0,0,0,0,99,0,0,0
2410270,0,1,1,0,47,3,7,5,2,0
2410276,0,1,1,0,48,14,11,5,2,0
2410287,0,2,0,0,0,8,99,2,2,0
2410288,0,0,0,0,0,0,99,0,0,0
2410290,0,1,1,2,30,16,9,3,2,0
2410293,0,1,1,0,30,10,4,6,2,0
2410303,0,1,1,2,45,13,16,6,2,0
2410308,0,1,1,0,27,8,7,4,2,0
2410317,0,1,1,1,59,16,27,9,2,0
2410333,0,0,0,0,0,0,99,0,0,0
2410335,0,2,0,0,0,99,99,4,2,0
2410338,0,0,0,0,0,0,99,0,0,0
2410341,0,0,0,0,0,0,99,0,0,0
2410349,0,0,0,0,0,0,99,0,0,0
2410359,0,1,1,1,50,7,4,3,2,0
2410365,0,1,1,1,59,9,16,6,2,0
2410368,0,1,1,1,45,12,9,8,2,0
2410370,0,1,1,2,40,8,8,5,2,0
2410376,0,1,1,1,43,7,11,7,2,0
2410379,0,2,1,0,0,12,99,5,2,0
2410397,0,1,1,2,59,0,13,8,2,0
2410399,0,2,0,0,0,9,99,5,2,0
2410402,0,1,1,2,38,6,7,4,2,0
2410406,0,1,1,1,50,12,11,5,2,0
2410415,0,1,1,2,58,10,9,7,2,0
2410419,0,0,0,0,0,0,99,0,0,0
2410420,0,1,2,1,30,7,6,6,2,0
2410423,0,1,2,1,39,7,35,5,2,0
2410429,0,1,1,1,34,7,5,5,2,0
2410433,0,2,0,0,0,5,99,2,2,0
2410443,0,1,1,0,15,6,1,5,2,0
2410452,0,1,1,0,16,3,0,3,2,0
2410460,0,0,0,0,0,0,99,0,0,0
2410462,0,0,0,0,0,0,99,0,0,0
2410463,0,2,0,0,0,99,99,1,1,0
2410464,0,0,0,0,0,0,99,0,0,0
2410477,0,1,1,0,54,4,9,5,2,0
2410483,0,1,2,1,59,27,99,8,2,0
2410494,1,1,2,0,59,20,22,7,2,0
2410495,0,0,0,0,0,0,99,0,0,0
2410496,0,2,0,0,0,99,99,2,2,0
2410502,0,2,0,0,0,10,99,1,2,0
2410503,0,1,1,2,35,24,13,6,2,0
2410506,0,1,1,0,50,99,7,3,2,0
2410514,0,1,1,1,48,4,11,6,2,0
2410516,0,1,1,0,45,11,9,7,2,0
2410525,0,2,1,0,0,15,99,3,2,0
2410535,0,1,1,0,30,16,5,3,2,0
2410552,0,2,0,0,0,12,99,3,2,0
2410556,0,2,1,0,0,25,99,4,2,0
2410573,0,1,1,2,51,13,5,5,2,0
2410577,0,2,0,0,0,8,99,4,2,0
2410582,0,1,1,0,19,15,1,5,2,0
2410584,0,1,1,1,59,0,6,5,2,0
2410588,0,1,1,0,59,11,22,8,2,0
2410589,0,0,0,0,0,0,99,0,0,0
2410590,0,1,1,2,45,10,9,6,2,0
2410595,0,1,2,0,50,10,6,6,2,0
2410606,0,2,0,0,0,7,99,4,2,0
2410622,0,0,0,0,0,0,99,0,0,0
2410623,0,1,2,0,48,10,7,8,2,0
2410628,0,0,0,0,0,0,99,0,0,0
2410629,0,2,2,0,0,99,99,3,2,0
2410630,0,1,1,1,42,15,8,8,2,0
2410637,0,0,0,0,0,0,99,0,0,0
2410638,0,1,2,0,59,6,13,6,2,0
2410644,0,2,1,0,0,1,99,3,2,0
2410647,0,2,0,0,0,6,99,3,2,0
2410655,0,2,2,0,0,9,99,6,2,0
2410657,0,2,1,0,0,2,99,4,2,0
2410674,0,2,2,0,0,99,99,4,2,0
2410683,0,2,1,0,0,4,99,3,2,0
2410684,0,0,0,0,0,0,99,0,0,0
2410685,0,1,1,0,40,7,9,6,2,0
2410690,0,1,1,2,40,17,13,4,2,0
2410694,0,2,1,0,0,30,99,5,2,0
2410695,0,1,1,0,47,12,13,9,2,0
2410702,0,2,0,0,0,4,99,2,2,0
2410714,0,1,1,2,25,6,13,7,2,0
2410716,0,2,0,0,0,1,99,1,2,0
2410727,0,1,1,2,59,6,8,4,2,0
2410741,0,1,1,1,35,12,13,9,2,0
2410743,0,1,1,1,57,12,8,7,2,0
2410750,0,1,2,0,59,57,99,5,2,0
2410751,0,0,0,0,0,0,99,0,0,0
2410753,0,1,1,1,59,9,16,7,2,0
2410754,0,1,1,0,32,6,6,5,2,0
2410768,0,1,1,1,42,4,9,5,2,0
2410773,0,1,1,0,35,9,11,5,2,0
2410774,0,1,0,1,25,2,2,3,2,0
2410781,0,1,1,1,45,15,9,7,2,0
2410792,0,2,0,0,0,4,99,4,2,0
2410793,0,1,1,2,42,9,8,5,2,0
2410801,0,2,0,0,0,5,99,4,2,0
2410805,0,2,0,0,0,3,99,4,2,0
2410808,0,0,0,0,0,0,99,0,0,0
2410816,0,1,1,0,34,4,11,5,2,0
2410831,0,1,1,1,48,6,8,6,2,0
2410834,0,0,0,0,0,0,99,0,0,0
2410835,0,1,1,1,39,12,5,2,2,0
2410839,0,0,0,0,0,0,99,0,0,0
2410843,0,2,0,0,0,7,99,4,2,0
2410851,0,2,1,0,0,0,99,2,2,0
2410856,0,0,0,0,0,0,99,0,0,0
2410860,0,2,0,0,0,9,99,3,2,0
2410863,0,2,0,0,0,6,99,3,2,0
2410864,0,1,0,0,43,57,9,4,2,0
2410867,1,1,1,1,59,15,22,5,2,0
2410872,0,2,1,0,0,3,99,7,2,0
2410899,0,2,1,0,0,11,99,8,2,0
2410903,0,1,1,1,41,8,9,5,2,0
2410905,0,1,1,1,30,5,6,4,2,0
2410912,0,1,1,0,2,4,6,5,2,0
2410943,0,2,1,0,0,0,99,4,2,0
2410950,0,0,0,0,0,0,99,0,0,0
2410952,0,1,1,1,30,15,11,7,2,0
2410958,0,1,2,0,59,12,18,8,2,0
2410967,0,0,0,0,0,0,99,0,0,0
2410978,0,1,1,0,45,9,13,4,2,0
2410991,0,1,1,1,19,4,7,5,2,0
2411024,0,2,0,0,0,3,99,3,2,0
2411026,0,1,1,1,55,23,11,8,2,0
2411028,0,2,1,0,0,2,99,5,2,0
2411029,0,1,1,0,59,7,22,9,2,0
2411038,0,2,1,0,0,99,99,2,2,0
2411052,0,1,1,1,50,17,9,6,2,0
2411058,0,1,2,0,59,15,18,6,2,0
2411069,0,0,0,0,0,0,99,0,0,0
2411076,0,1,1,0,45,6,16,4,2,0
2411087,0,1,1,0,56,9,13,7,2,0
2411102,0,0,0,0,0,0,99,0,0,0
2411104,0,1,1,2,40,99,13,6,2,0
2411109,1,1,2,1,50,1,18,8,2,0
2411122,0,0,0,0,0,0,99,0,0,0
2411124,0,1,1,1,59,15,11,6,2,0
2411160,0,1,1,0,33,7,13,8,2,0
2411165,0,2,1,0,0,15,99,5,2,0
2411170,0,2,1,0,0,7,99,6,2,0
2411174,0,1,1,1,18,9,5,8,2,0
2411186,0,1,1,0,59,12,7,4,2,0
2411187,0,1,1,0,40,4,8,2,2,0
2411197,0,0,0,0,0,0,99,0,0,0
2411202,0,0,0,0,0,0,99,0,0,0
2411203,0,1,1,0,40,99,6,5,2,0
2411205,0,1,1,1,15,6,7,6,2,0
2411206,0,1,1,1,31,13,6,5,2,0
2411224,0,1,1,0,59,9,11,5,2,0
2411231,0,1,2,0,43,7,13,5,2,0
2411235,0,1,1,0,38,9,11,6,2,0
2411248,0,1,1,0,39,4,4,3,2,0
2411251,0,1,1,1,21,2,4,6,2,0
2411260,0,2,1,0,0,3,99,4,2,0
2411263,0,2,1,0,0,6,99,3,2,0
2411268,0,0,0,0,0,0,99,0,0,0
2411273,0,1,1,2,59,24,11,6,2,0
2411298,0,1,0,0,59,4,2,4,2,0
2411308,0,1,1,0,40,9,8,5,2,0
2411322,0,2,1,0,0,9,99,5,2,0
2411332,0,1,1,1,59,9,18,7,2,0
2411350,0,1,2,1,59,20,27,7,2,0
2411352,0,2,2,0,0,8,99,1,1,0
2411355,0,0,0,0,0,0,99,0,0,0
2411360,0,2,0,0,0,10,99,3,2,0
2411368,0,1,2,0,51,15,11,6,2,0
2411372,0,1,1,0,30,6,5,5,2,0
2411374,0,1,1,0,59,99,13,6,2,0
2411377,0,0,0,0,0,0,99,0,0,0
2411382,0,1,1,2,57,57,18,8,2,0
2411389,0,1,1,0,47,24,2,3,2,0
2411393,0,2,1,0,0,5,99,5,2,0
2411406,0,2,0,0,0,6,99,2,2,0
2411421,0,2,0,0,0,8,99,3,2,0
2411426,0,2,1,0,0,7,99,3,2,0
2411437,0,1,1,0,45,3,4,8,2,0
2411440,0,1,1,1,41,5,6,5,2,0
2411449,0,1,1,0,55,16,18,5,2,0
2411450,0,1,1,0,59,22,2,4,2,0
2411451,0,1,1,1,28,10,4,5,2,0
2411456,0,1,1,1,30,8,2,7,2,0
2411458,0,1,1,0,59,8,27,7,2,0
2411459,0,1,1,1,50,5,3,6,2,0
2411460,0,1,1,0,45,11,9,5,2,0
2411474,0,1,1,1,45,6,5,4,2,0
2411477,0,1,1,1,40,6,3,6,2,0
2411484,0,2,1,0,0,5,99,2,2,0
2411496,1,2,2,0,0,10,99,9,2,0
2411509,0,2,1,0,0,24,99,4,2,0
2411517,0,1,1,0,52,9,18,6,2,0
2411524,0,1,1,1,45,18,8,5,2,0
2411537,0,1,2,1,55,12,22,6,2,0
2411547,0,2,1,0,0,5,99,5,2,0
2411551,0,2,1,0,0,12,99,5,2,0
2411561,0,1,1,0,46,6,13,6,2,0
2411562,0,1,1,1,45,6,22,5,2,0
2411566,0,2,0,0,0,9,99,4,2,0
2411580,0,1,1,1,59,57,7,5,2,0
2411582,0,1,2,1,49,9,27,9,2,0
2411584,0,1,1,0,59,12,18,5,2,0
2411586,0,2,1,0,0,7,99,6,2,0
2411588,0,2,1,0,0,12,99,3,2,0
2411589,0,2,1,0,0,4,99,5,2,0
2411600,0,2,0,0,0,6,99,5,2,0
2411612,0,1,1,0,36,6,3,7,2,0
2411618,0,1,1,2,32,8,4,3,2,0
2411630,1,1,1,2,46,0,13,3,2,0
2411654,0,1,1,0,15,13,2,5,2,0
2411665,0,2,1,0,0,12,99,4,2,0
2411667,0,1,1,0,43,8,5,5,2,0
2411671,0,2,1,0,0,12,99,5,2,0
2411678,0,1,1,0,50,99,13,5,2,0
2411681,0,1,1,0,59,6,5,5,2,0
2411694,0,2,2,0,0,3,99,7,2,0
2411718,0,1,1,0,38,7,5,6,2,0
2411721,0,2,1,0,0,4,99,6,2,0
2411733,0,1,1,0,25,6,3,6,2,0
2411738,0,2,0,0,0,99,99,2,2,0
2411742,0,0,0,0,0,0,99,0,0,0
2411747,0,2,1,0,0,7,99,4,2,0
2411761,0,2,0,0,0,10,99,4,2,0
2411764,0,1,1,0,35,14,13,5,2,0
2411765,0,0,0,0,0,0,99,0,0,0
2411770,0,2,0,0,0,6,99,6,2,0
2411778,0,1,1,0,59,7,11,5,2,0
2411790,0,1,1,1,59,11,7,6,2,0
2411795,0,1,1,1,59,8,27,5,2,0
2411822,0,2,1,0,0,10,99,3,2,0
2411826,0,1,1,2,40,5,8,4,2,0
2411829,0,1,1,1,53,15,22,7,2,0
2411835,0,1,1,2,50,24,22,9,2,0
2411836,0,2,1,0,0,7,99,8,2,0
2411838,0,2,0,0,0,4,99,4,2,0
2411845,0,2,1,0,0,6,99,5,2,0
2411852,0,1,1,1,30,99,5,1,1,0
2411853,0,1,1,2,25,8,8,6,2,0
2411860,0,0,0,0,0,0,99,0,0,0
2411871,0,1,1,0,35,8,16,4,2,0
2411874,0,1,1,1,59,21,62,9,2,0
2411876,0,1,1,2,38,18,11,7,2,0
2411888,0,2,0,0,0,6,99,4,2,0
